Host Response Time,Host Response Rate,Host Listings Count,Host Total Listings Count,Accommodates,Bathrooms,Bedrooms,Beds,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Calculated host listings count,Reviews per Month,total_words,house_rules_words,days_since_calendar_updated,days_host_since,days_since_last_scraped,days_since_first_review,days_since_last_review,season,host_verified,distance_km,neighbourhood_price,has_weekly_price,has_monthly_price,Property Type_price_encoded,Room Type_price_encoded,Bed Type_price_encoded,total_amenities,amenity_wireless_internet,amenity_internet,amenity_kitchen,amenity_heating,amenity_essentials,amenity_washer,amenity_tv,amenity_hot_tub,amenity_pool,amenity_gym,amenity_cable_tv,amenity_free_parking_on_premises,amenity_pets_allowed,cancellation_price_encoded
1,1.0,3.0,3.0,1,1.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,18,1,1125,0,0,0,66,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,221,0,2,166,1,999,999,1,1,3.306077522026623,33.5,0,0,55.0,29.0,52.0,9,1,1,1,1,1,1,0,0,0,0,0,0,0,60.0
1,1.0,7.0,7.0,14,5.5,5.0,10.0,999999.0,999999.0,400.0,70.0,10,20,1,365,6,16,25,217,95,94.0,10.0,10.0,9.0,10.0,10.0,9.0,6.0,2.77,405,828,1,1060,1,1028,12,1,1,0.7238531285159748,60.0,0,0,55.0,72.0,52.0,14,1,1,1,0,1,1,1,0,0,0,0,0,0,60.0
1,1.0,6.0,6.0,2,5.0,1.0,10.0,177.0,627.0,0.0,10.0,1,17,1,1125,30,60,90,365,4,65.0,8.0,6.0,8.0,8.0,8.0,7.0,6.0,0.14,24,0,1,1301,1,850,322,1,1,7.602938650547553,50.5,1,1,49.0,29.0,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0
3,1.0,15.0,15.0,4,1.0,1.0,3.0,999999.0,999999.0,0.0,30.0,2,25,2,30,4,9,17,211,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,0.0,335,854,1,1158,1,999,999,1,1,0.46625135164519355,70.0,0,0,55.0,72.0,52.0,15,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
1,1.0,2.0,2.0,1,1.0,1.0,1.0,350.0,1050.0,0.0,10.0,1,0,7,280,15,15,20,295,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,103,26,1,1223,1,999,999,1,1,3.5056489779006195,38.0,1,1,38.0,29.0,52.0,14,1,1,0,1,0,1,1,0,0,0,0,0,0,55.0
24,0.9,1.0,1.0,2,1.0,1.0,1.0,999999.0,999999.0,100.0,20.0,1,0,2,1125,4,7,28,291,57,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,3.4,132,45,1,523,1,503,14,1,1,1.9235764503756716,42.5,0,0,55.0,72.0,52.0,13,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
3,1.0,5.0,5.0,8,2.0,3.0,5.0,999999.0,3750.0,200.0,30.0,6,25,1,1125,7,19,31,301,188,94.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,4.39,336,54,1,1603,1,1286,6,1,1,0.8617952466101634,65.0,0,1,60.0,72.0,52.0,19,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
999,0.0,1.0,1.0,2,1.0,1.0,1.0,999999.0,999999.0,0.0,10.0,2,20,2,1125,0,0,0,0,19,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.91,303,266,1,1164,1,299,118,1,1,0.7073341855591257,65.0,0,0,55.0,72.0,52.0,11,1,1,1,0,1,1,1,0,0,0,0,0,0,55.0
3,1.0,114.0,114.0,1,2.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,0,10,1125,0,0,24,299,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97.0,0.0,293,0,1,1067,1,999,999,1,1,0.5837678204321112,50.0,0,0,50.0,29.0,52.0,13,1,1,1,1,0,1,0,0,0,0,0,0,0,60.0
1,1.0,1.0,1.0,2,1.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,5,2,1125,0,0,0,3,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,186,0,1,1472,1,999,999,1,1,0.5622050014056243,65.0,0,0,55.0,29.0,52.0,7,1,1,1,0,1,0,0,0,0,0,0,0,0,40.0
1,1.0,3.0,3.0,2,1.0,1.0,1.0,350.0,800.0,0.0,10.0,2,15,1,1125,1,14,28,115,84,90.0,9.0,10.0,10.0,10.0,10.0,9.0,3.0,3.33,354,98,2,811,1,756,20,1,1,0.9902760330422051,50.0,1,1,55.0,72.0,52.0,15,1,1,1,1,1,1,1,0,0,0,0,0,0,55.0
1,1.0,1.0,1.0,2,1.0,1.0,1.0,175.0,324.0,0.0,10.0,1,18,1,1125,27,57,87,177,21,83.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,2.09,90,0,1,346,1,302,9,1,1,7.560658543725494,31.5,1,1,38.0,29.0,52.0,9,1,1,1,1,1,1,0,0,0,0,0,0,0,55.0
1,1.0,1.0,1.0,1,1.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,0,2,1125,8,38,68,343,19,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1.0,1.63,257,154,1,1222,1,350,29,1,1,0.5239152407665656,65.0,0,0,55.0,29.0,52.0,14,1,1,1,1,1,1,1,0,0,0,0,0,0,40.0
1,0.89,3.0,3.0,3,1.0,2.0,2.0,999999.0,999999.0,0.0,40.0,1,0,5,25,17,47,77,352,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,111,0,1,1002,1,999,999,1,1,1.7415099671420968,42.5,0,0,55.0,72.0,52.0,21,1,1,1,1,1,1,1,0,0,0,1,1,0,40.0
